,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,건물명
6768,놀이터,,예술·스포츠,유원지·오락,전자 게임장,전자 게임장 운영업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 364-11,세종특별자치시 세종특별자치시 조치원읍 섭골길,
6769,다비치안경,,소매,안경·정밀기기 소매,안경렌즈 소매업,안경 및 렌즈 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 102-10,세종특별자치시 세종특별자치시 조치원읍 새내로,
6770,한디자인코퍼레이션,,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,경 인쇄업,세종특별자치시,세종특별자치시,반곡동,반곡동,세종특별자치시 세종특별자치시 반곡동 308,세종특별자치시 세종특별자치시 국책연구원2로,알파타워
6771,샤위너스학원,,교육,일반 교육,입시·교과학원,일반 교과학원,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 610,세종특별자치시 세종특별자치시 도움8로,세종마치
6772,명품한우,,음식,한식,소고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 695,세종특별자치시 세종특별자치시 다정로,
6773,청년푸드,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,대평동,대평동,세종특별자치시 세종특별자치시 대평동 684,세종특별자치시 세종특별자치시 한누리대로,스타뷰타워
6774,서연점핑,,소매,식료품 소매,건강보조식품 소매업,체형 등 기타 신체 관리 서비스업,세종특별자치시,세종특별자치시,종촌동,종촌동,세종특별자치시 세종특별자치시 종촌동 660,세종특별자치시 세종특별자치시 도움3로,성원프라자
6775,아르테미,,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,"전시, 컨벤션 및 행사 대행업",세종특별자치시,세종특별자치시,반곡동,반곡동,세종특별자치시 세종특별자치시 반곡동 산101,세종특별자치시 세종특별자치시 국책연구원3로,비오케이아트센터
6776,어썸초밥,,음식,일식,일식 회/초밥,일식 음식점업,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 721,세종특별자치시 세종특별자치시 한누리대로,스마트허브Ⅱ
6777,티오,,음식,비알코올 ,카페,커피 전문점,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 244-1,세종특별자치시 세종특별자치시 조치원읍 운주산로,조형아파트
6778,부강꿀돼지,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 부강리 414-1,세종특별자치시 세종특별자치시 부강면 부촌길,
6779,시소시소아트빌리지학원,,교육,기타 교육,미술학원,미술학원,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 635,세종특별자치시 세종특별자치시 보듬4로,
6780,파리바게트세종,,음식,기타 간이,빵/도넛,제과점업,세종특별자치시,세종특별자치시,소담동,소담동,세종특별자치시 세종특별자치시 소담동 550,세종특별자치시 세종특별자치시 시청대로,새샘마을3단지
6781,몰디브태닝세종나성점,,수리·개인,이용·미용,피부 관리실,그 외 기타 달리 분류되지 않은 개인 서비스업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로,에비뉴힐
6782,세종SJ행정사사무소,,과학·기술,본사·경영 컨설팅,경영 컨설팅업,경영 컨설팅업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 768,세종특별자치시 세종특별자치시 한누리대로,르네상스
6783,산울프로젝트,,교육,기타 교육,그 외 기타 교육기관,그 외 기타 분류 안된 교육기관,세종특별자치시,세종특별자치시,소정면,소정면,세종특별자치시 세종특별자치시 소정면 운당리 232-2,세종특별자치시 세종특별자치시 소정면 운당1길,
