,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,건물명
1521,클라우드스퀘어,,음식,주점,요리 주점,기타 주점업,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 946,세종특별자치시 세종특별자치시 노을1로,첫마을2단지
1522,민헤어스타일,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 3-18,세종특별자치시 세종특별자치시 조치원읍 조치원5길,
1523,스카이,,숙박,일반 숙박,여관/모텔,여관업,세종특별자치시,세종특별자치시,전동면,전동면,세종특별자치시 세종특별자치시 전동면 심중리 454-1,세종특별자치시 세종특별자치시 전동면 소죽골길,
1524,예산상회,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 1-10,세종특별자치시 세종특별자치시 조치원읍 조치원로,
1525,선희미용실,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 403,세종특별자치시 세종특별자치시 조치원읍 장안로,
1526,작은여유,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 3-14,세종특별자치시 세종특별자치시 조치원읍 조치원5길,
1527,시크릿발마사지,,수리·개인,욕탕·신체관리,마사지/안마,마사지업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 308,세종특별자치시 세종특별자치시 조치원읍 새내2길,
1528,관문상회,,소매,오락용품 소매,장난감 소매업,"게임용구, 인형 및 장난감 소매업",세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 성제리 586-184,세종특별자치시 세종특별자치시 연서면 도신고복로,
1529,헤어앤,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 15-40,세종특별자치시 세종특별자치시 조치원읍 조치원3길,
1530,전의LP통신,,소매,가전·통신 소매,핸드폰 소매업,통신기기 소매업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 읍내리 254-12,세종특별자치시 세종특별자치시 전의면 운주산로,
1531,법무사강석현사무소,,과학·기술,법무관련 ,법무사,법무사업,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 721,세종특별자치시 세종특별자치시 한누리대로,스마트허브Ⅱ
1532,콜드라이,,수리·개인,세탁,세탁소,가정용 세탁업,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 1226,세종특별자치시 세종특별자치시 누리로,첫마을4단지
1533,옆집언니,,소매,섬유·의복·신발 소매,기타 의류 소매업,기타 의복 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 4-3,세종특별자치시 세종특별자치시 조치원읍 충현로,
1534,지앤지공인중개사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 월하리 852-34,세종특별자치시 세종특별자치시 연서면 도원로,
1535,슬로우오브젝트,,소매,섬유·의복·신발 소매,유아용 의류 소매업,유아용 의류 소매업,세종특별자치시,세종특별자치시,연기면,연기면,세종특별자치시 세종특별자치시 연기면 연기리 599-9,세종특별자치시 세종특별자치시 연기면 아사디길,
1536,흙과사람들세종시점,,소매,기타 생활용품 소매,주방/가정용품 소매업,"주방용품 및 가정용 유리, 요업제품 소매업",세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 금암리 367-10,세종특별자치시 세종특별자치시 장군면 금송로,
1537,The예쁜피부,,수리·개인,이용·미용,피부 관리실,피부 미용업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 월하리 852-34,세종특별자치시 세종특별자치시 연서면 도원로,
1538,믿음공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 102,세종특별자치시 세종특별자치시 조치원읍 군청로,조치원GR빌딩
1539,홍문당교구,,소매,오락용품 소매,서점,"서적, 신문 및 잡지류 소매업",세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 15-20,세종특별자치시 세종특별자치시 조치원읍 조치원로,
1540,파랑새,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 95-3,세종특별자치시 세종특별자치시 조치원읍 장안로,
1541,제일슈퍼,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 7-1,세종특별자치시 세종특별자치시 조치원읍 조치원7길,
1542,빙그레아구찜,,음식,한식,해산물 구이/찜,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 268-7,세종특별자치시 세종특별자치시 조치원읍 행복3길,
1543,뷰티헤어스타일,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 동교리 197-22,세종특별자치시 세종특별자치시 전의면 운주산로,
1544,서울옷수선,,수리·개인,기타 가정용품 수리,의류/이불 수선업,의복 및 기타 가정용 직물제품 수리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 101-1,세종특별자치시 세종특별자치시 조치원읍 조치원8길,
1545,세종광고,,과학·기술,광고,광고 대행업,광고 대행업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 발산리 225-4,세종특별자치시 세종특별자치시 금남면 발산1길,
1546,알파세종,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,세종특별자치시,세종특별자치시,소담동,소담동,세종특별자치시 세종특별자치시 소담동 580,세종특별자치시 세종특별자치시 소담1로,지엘플렉스2
1547,조치원문화자동차학원,,교육,기타 교육,운전학원,운전학원,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 85,세종특별자치시 세종특별자치시 조치원읍 새내로,
1548,세종특별시공인공개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로,퍼스트원
1549,탱고식당,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 부강리 458-2,세종특별자치시 세종특별자치시 부강면 시장길,
1550,백반/한정식,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 927,세종특별자치시 세종특별자치시 노을3로,한솔빌딩
1551,정관장첫,,소매,식료품 소매,건강보조식품 소매업,건강 보조식품 소매업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 712,세종특별자치시 세종특별자치시 한누리대로,세종퍼스트타워
1552,남매식당,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 265-5,세종특별자치시 세종특별자치시 조치원읍 행복5길,
1553,대경흙고기,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 171-15,세종특별자치시 세종특별자치시 조치원읍 이화로,
1554,건강고무,,소매,섬유·의복·신발 소매,신발 소매업,신발 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 101-1,세종특별자치시 세종특별자치시 조치원읍 조치원8길,
1555,킹스킹,,음식,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 60-16,세종특별자치시 세종특별자치시 조치원읍 세종로,
1556,두바퀴,,수리·개인,모터사이클 수리,모터사이클 수리업,모터사이클 수리업,세종특별자치시,세종특별자치시,연기면,연기면,세종특별자치시 세종특별자치시 연기면 보통리 159-3,세종특별자치시 세종특별자치시 연기면 보통2길,
1557,세종각,,음식,중식,중국집,중식 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 273-8,세종특별자치시 세종특별자치시 조치원읍 큰말2길,
1558,만나분식,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 읍내리 247-2,세종특별자치시 세종특별자치시 전의면 읍내길,
1559,건축사사무소와이,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 103-1,세종특별자치시 세종특별자치시 조치원읍 군청로,
1560,태극상사,,소매,연료 소매,가정용 연료 소매업,가정용 액체 연료 소매업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 용현리 산19-2,세종특별자치시 세종특별자치시 장군면 용연로,
1561,세종종합유통상사.토마토이동통신,,소매,가전·통신 소매,핸드폰 소매업,통신기기 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 상리 132-15,세종특별자치시 세종특별자치시 조치원읍 문화로,
1562,다모미가,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 용포리 196-30,세종특별자치시 세종특별자치시 금남면 용포로,
1563,박민주헤어컴,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 1045,세종특별자치시 세종특별자치시 누리로,첫마을5단지
1564,이삭토스트,,음식,기타 간이,토스트/샌드위치/샐러드,"피자, 햄버거, 샌드위치 및 유사 음식점업",세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 608,세종특별자치시 세종특별자치시 도움8로,세종일번가
1565,전통부대찌개,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,한솔동,한솔동,세종특별자치시 세종특별자치시 한솔동 927,세종특별자치시 세종특별자치시 노을3로,한솔빌딩
1566,대유가재율,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 발산리 164,세종특별자치시 세종특별자치시 금남면 발산3길,
1567,소정왕치킨호프,,음식,주점,요리 주점,기타 주점업,세종특별자치시,세종특별자치시,소정면,소정면,세종특별자치시 세종특별자치시 소정면 소정리 196-11,세종특별자치시 세종특별자치시 소정면 소정구길,
1568,더코너,,음식,비알코올 ,카페,커피 전문점,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 660,세종특별자치시 세종특별자치시 보듬3로,세종한신휴시티
1569,스토리안경원,,소매,안경·정밀기기 소매,안경렌즈 소매업,안경 및 렌즈 소매업,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1293,세종특별자치시 세종특별자치시 보듬3로,해피라움2
1570,지지미용실,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 용포리 180-4,세종특별자치시 세종특별자치시 금남면 대평시장2길,
1571,신흥전업사,,소매,기타 생활용품 소매,전기용품/조명장치 소매업,전기용품 및 조명장치 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 87-10,세종특별자치시 세종특별자치시 조치원읍 새내로,
1572,이레공간건축사사무소,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 815,세종특별자치시 세종특별자치시 국세청로,마크원애비뉴
1573,국제공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 720,세종특별자치시 세종특별자치시 한누리대로,세종행복타워
1574,충남세탁소,,수리·개인,세탁,세탁소,가정용 세탁업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 10-7,세종특별자치시 세종특별자치시 조치원읍 새내로,
1575,하얀무치킨,,음식,기타 간이,치킨,치킨 전문점,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 44-9,세종특별자치시 세종특별자치시 조치원읍 새내6길,
1576,창우네,,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 1-12,세종특별자치시 세종특별자치시 조치원읍 조치원로,
1577,태양파닭,,소매,식료품 소매,정육점,육류 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 101-1,세종특별자치시 세종특별자치시 조치원읍 조치원8길,
1578,원미당,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 25-13,세종특별자치시 세종특별자치시 조치원읍 새내11길,
1579,다정한동물메디컬센터,,과학·기술,수의,동물병원,수의업,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 659,세종특별자치시 세종특별자치시 다정1길,이도빌딩
1580,세종삼복낙지,,음식,한식,해산물 구이/찜,한식 일반 음식점업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 721,세종특별자치시 세종특별자치시 한누리대로,세종메디피아
1581,홀링헤어,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 721,세종특별자치시 세종특별자치시 한누리대로,세종메디피아
1582,매거진타임즈,,과학·기술,광고,광고 대행업,광고 대행업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 401,세종특별자치시 세종특별자치시 조치원읍 장안로,수정웨딩타운
1583,일식 회/초밥,,음식,일식,일식 회/초밥,일식 음식점업,세종특별자치시,세종특별자치시,어진동,어진동,세종특별자치시 세종특별자치시 어진동 608,세종특별자치시 세종특별자치시 도움8로,세종일번가
1584,성진가스,,소매,연료 소매,가정용 연료 소매업,가정용 액체 연료 소매업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 발산리 26-3,세종특별자치시 세종특별자치시 금남면 발산1길,
1585,고려홍삼마을,,소매,식료품 소매,건강보조식품 소매업,건강 보조식품 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 6-32,세종특별자치시 세종특별자치시 조치원읍 조치원6길,
1586,우리슈퍼,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 신촌리 124-5,세종특별자치시 세종특별자치시 금남면 금남구즉로,
1587,해커컴퓨터,,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,컴퓨터 및 주변 기기 수리업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 201-1,세종특별자치시 세종특별자치시 연서면 당산로,
1588,시장감자탕,,음식,한식,국/탕/찌개류,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 4-6,세종특별자치시 세종특별자치시 조치원읍 조치원로,
1589,종촌식당,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 20-1,세종특별자치시 세종특별자치시 조치원읍 장안길,
1590,한일전자냉동,,수리·개인,가전제품 수리,가전제품 수리업,가전제품 수리업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 용포리 194-9,세종특별자치시 세종특별자치시 금남면 용포로,
1591,왕천식당,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 6-19,세종특별자치시 세종특별자치시 조치원읍 새내10길,
1592,금강사우나,,수리·개인,욕탕·신체관리,목욕탕/사우나,욕탕업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 부용리 82,세종특별자치시 세종특별자치시 금남면 금병로,
1593,세종IT시스템,,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,컴퓨터 및 주변 기기 수리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 167-14,세종특별자치시 세종특별자치시 조치원읍 충현로,
1594,한흥상회,,소매,오락용품 소매,문구/회화용품 소매업,문구용품 및 회화용품 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 2-2,세종특별자치시 세종특별자치시 조치원읍 새내12길,
1595,인디안,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 상리 99-2,세종특별자치시 세종특별자치시 조치원읍 조치원로,
1596,아가방갤러리,,소매,섬유·의복·신발 소매,유아용 의류 소매업,유아용 의류 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 87,세종특별자치시 세종특별자치시 조치원읍 조치원로,
1597,디어베이비·에뜨와,,소매,섬유·의복·신발 소매,유아용 의류 소매업,유아용 의류 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 6-1,세종특별자치시 세종특별자치시 조치원읍 조치원로,
1598,관광라사,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 92,세종특별자치시 세종특별자치시 조치원읍 새내로,
1599,매매상회,,소매,식료품 소매,반찬/식료품 소매업,기타 식료품 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 28-7,세종특별자치시 세종특별자치시 조치원읍 새내10길,
1600,켐마트,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,세종특별자치시,세종특별자치시,전동면,전동면,세종특별자치시 세종특별자치시 전동면 청송리 167-8,세종특별자치시 세종특별자치시 전동면 배일길,
1601,쉐인봉암점,,음식,주점,요리 주점,기타 주점업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 봉암리 215-4,세종특별자치시 세종특별자치시 연서면 당산로,
1602,떡뽀끼집,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 393-2,세종특별자치시 세종특별자치시 조치원읍 신안새동네1길,
1603,한솥도시락홍익대캠퍼스,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신안리 341-25,세종특별자치시 세종특별자치시 조치원읍 섭골길,
1604,잉크플러스,,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,"컴퓨터 및 주변장치, 소프트웨어 소매업",세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 8-7,세종특별자치시 세종특별자치시 조치원읍 새내16길,
1605,이레마트조치원여고점,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 140-7,세종특별자치시 세종특별자치시 조치원읍 봉산로,
1606,금남직업소개소,,시설관리·임대,고용 알선,고용 알선업,고용 알선업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 용포리 80-2,세종특별자치시 세종특별자치시 금남면 용포로,
1607,평화한약국,,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 정리 51-1,세종특별자치시 세종특별자치시 조치원읍 새내8길,
1608,서창해물칼국수,,음식,한식,국수/칼국수,한식 면 요리 전문점,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 144-14,세종특별자치시 세종특별자치시 조치원읍 내창2길,
1609,밀마을,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 10-11,세종특별자치시 세종특별자치시 조치원읍 으뜸길,
1610,대평랜드공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 744,세종특별자치시 세종특별자치시 한누리대로,스타힐타워Ⅱ
1611,용포떡방아간,,음식,기타 간이,떡/한과,떡류 제조업,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 용포리 190-5,세종특별자치시 세종특별자치시 금남면 대평시장2길,
1612,안나수이헤어,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 1-3,세종특별자치시 세종특별자치시 조치원읍 문화로,
1613,하나로떡집,,음식,기타 간이,떡/한과,떡류 제조업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 신흥리 224-1,세종특별자치시 세종특별자치시 조치원읍 이화로,
1614,욱일김밥천국,,음식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 261-9,세종특별자치시 세종특별자치시 조치원읍 행복12길,
1615,세종모터스,,수리·개인,자동차 수리·세차,자동차 정비소,자동차 전문 수리업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 월하리 814-3,세종특별자치시 세종특별자치시 연서면 도원로,
1616,피움,,소매,장식품 소매,기념품점,"기념품, 관광 민예품 및 장식용품 소매업",세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 성덕리 81,세종특별자치시 세종특별자치시 금남면 성덕1길,
1617,세종인쇄기획사,,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,경 인쇄업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 301,세종특별자치시 세종특별자치시 조치원읍 새내2길,
1618,라벨메종,,음식,서양식,경양식,서양식 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 278-5,세종특별자치시 세종특별자치시 조치원읍 문화길,
1619,내집처럼,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 158-7,세종특별자치시 세종특별자치시 조치원읍 죽림로,
1620,SNHC,,과학·기술,기술 서비스,기타 엔지니어링 서비스업,기타 엔지니어링 서비스업,세종특별자치시,세종특별자치시,연동면,연동면,세종특별자치시 세종특별자치시 연동면 노송리 388-2,세종특별자치시 세종특별자치시 연동면 장욱진로,
1621,휴대폰싸게파는집,,소매,가전·통신 소매,핸드폰 소매업,통신기기 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 4-3,세종특별자치시 세종특별자치시 조치원읍 충현로,
1622,민턴스포츠,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 7-11,세종특별자치시 세종특별자치시 조치원읍 조치원4길,
1623,산채원,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 유천리 113,세종특별자치시 세종특별자치시 전의면 어천길,
1624,에스엠,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 서정리 107-7,세종특별자치시 세종특별자치시 전의면 내서길,
1625,드림사우나,,수리·개인,욕탕·신체관리,목욕탕/사우나,욕탕업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 침산리 84-1,세종특별자치시 세종특별자치시 조치원읍 행복1길,
1626,영심이,,음식,주점,요리 주점,기타 주점업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 죽림리 57-24,세종특별자치시 세종특별자치시 조치원읍 충현로,
1627,세종중고타이어,,수리·개인,자동차 수리·세차,자동차 정비소,자동차 전문 수리업,세종특별자치시,세종특별자치시,연서면,연서면,세종특별자치시 세종특별자치시 연서면 신대리 197,세종특별자치시 세종특별자치시 연서면 와룡로,
1628,아리따움,,소매,의약·화장품 소매,화장품 소매업,"화장품, 비누 및 방향제 소매업",세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 15-40,세종특별자치시 세종특별자치시 조치원읍 조치원3길,
1629,영상식당,,음식,한식,백반/한정식,한식 일반 음식점업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 금암리 203-1,세종특별자치시 세종특별자치시 장군면 대학길,
1630,명화제일주유소,,소매,연료 소매,주유소,운송장비용 주유소 운영업,세종특별자치시,세종특별자치시,전동면,전동면,세종특별자치시 세종특별자치시 전동면 심중리 352-4,세종특별자치시 세종특별자치시 전동면 운주산로,
1631,스카이노래연습장,,예술·스포츠,유원지·오락,노래방,노래 연습장 운영업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 교리 22-5,세종특별자치시 세종특별자치시 조치원읍 새내12길,
